@id,@type,rdfs:label
ndc9:070.1,skos:Concept,ジャーナリズム．新聞--ジャーナリズム・新聞の理論：新聞学
ndc9:070.12,skos:Concept,ジャーナリズム．新聞--ジャーナリズム・新聞の理論：新聞学--報道・新聞に関する法令．検閲
ndc9:070.13,skos:Concept,ジャーナリズム．新聞--ジャーナリズム・新聞の理論：新聞学--報道の自由．新聞と自由
ndc9:070.14,skos:Concept,ジャーナリズム．新聞--ジャーナリズム・新聞の理論：新聞学--ジャーナリズムと社会．報道・新聞と世論．新聞と読者
ndc9:070.15,skos:Concept,ジャーナリズム．新聞--ジャーナリズム・新聞の理論：新聞学--報道・新聞の倫理．プレスコード
ndc9:070.16,skos:Concept,ジャーナリズム．新聞--ジャーナリズム・新聞の理論：新聞学--ジャーナリスト．新聞記者．記者と取材倫理
ndc9:070.163,skos:Concept,ジャーナリズム．新聞--ジャーナリスト．新聞記者．記者と取材倫理--新聞の編集・整理
ndc9:070.17,skos:Concept,ジャーナリズム．新聞--ジャーナリズム・新聞の理論：新聞学--報道写真．新聞写真．新聞印刷
ndc9:070.18,skos:Concept,ジャーナリズム．新聞--ジャーナリズム・新聞の理論：新聞学--営業．広告．販売．新聞料金
ndc9:070.19,skos:Concept,ジャーナリズム．新聞--ジャーナリズム・新聞の理論：新聞学--通信社
ndc9:070.21,skos:Concept,（ジャーナリズム．新聞--瓦版）
ndc9:070.253,skos:Concept,（ジャーナリズム．新聞--ピュリッツァー賞）
ndc9:070.67,skos:Concept,（ジャーナリズム．新聞--新聞社誌）
ndc9:081.2,skos:Concept,叢書．全集．選集--日本語--地方叢書
ndc9:081.5,skos:Concept,叢書．全集．選集--日本語--全集・選集＜江戸およびそれ以前の個人著作集＞
ndc9:081.6,skos:Concept,叢書．全集．選集--日本語--全集・選集＜明治以後の個人著作集＞
ndc9:081.7,skos:Concept,叢書．全集．選集--日本語--影印本の叢書
ndc9:081.9,skos:Concept,叢書．全集．選集--日本語--児童図書の叢書
ndc9:082.2,skos:Concept,叢書．全集．選集--中国語--地方叢書
ndc9:082.5,skos:Concept,叢書．全集．選集--中国語--全集＜清朝以前の一人，一姓の全集＞
ndc9:082.6,skos:Concept,叢書．全集．選集--中国語--全集＜民国以後の一人，一姓の全集＞
ndc9:082.7,skos:Concept,叢書．全集．選集--中国語--影印本の叢書．散佚書の叢書
ndc9:102.8,skos:Concept,哲学史--哲学者列伝
ndc9:111.5,skos:Concept,形而上学．存在論--唯心論
ndc9:111.6,skos:Concept,形而上学．存在論--唯物論
ndc9:111.7,skos:Concept,形而上学．存在論--唯名論．名目論
ndc9:111.8,skos:Concept,形而上学．存在論--実在論．実念論
ndc9:113.1,skos:Concept,人生観．世界観--楽天観
ndc9:113.2,skos:Concept,人生観．世界観--厭世観．運命論
ndc9:113.3,skos:Concept,人生観．世界観--ヒューマニズム
ndc9:113.4,skos:Concept,人生観．世界観--理想主義
ndc9:113.5,skos:Concept,人生観．世界観--自然主義
ndc9:113.6,skos:Concept,人生観．世界観--プラグマティズム
ndc9:113.7,skos:Concept,人生観．世界観--ニヒリズム
ndc9:114.2,skos:Concept,人間学--心身論．人性論．生死
ndc9:114.3,skos:Concept,人間学--生の哲学
ndc9:114.5,skos:Concept,人間学--実存主義．実存哲学
ndc9:115.1,skos:Concept,認識論--観念論
ndc9:115.2,skos:Concept,認識論--批判主義．先験的観念論
ndc9:115.3,skos:Concept,認識論--合理主義
ndc9:115.4,skos:Concept,認識論--実在論．模写説．反映論
ndc9:115.5,skos:Concept,認識論--経験論．感覚論
